#
#
#
wavelength	counts
6.286560670000001e-07	2574.5617021276594
6.30008057e-07	2716.9957627118642
6.313599000000001e-07	2712.3991416309013
6.327118000000001e-07	2568.777777777778
6.340636600000001e-07	2377.7327586206898
6.354154660000001e-07	2285.4285714285716
6.367672e-07	2392.8826086956524
6.381190000000001e-07	2638.192139737991
6.394707e-07	2872.8026315789475
6.408223000000001e-07	2995.4140969162995
6.4217395e-07	2938.7644444444445
6.435255e-07	2812.3303571428573
6.44877e-07	2775.9282511210763
6.462286e-07	2952.3529411764707
6.475799560000001e-07	3377.755656108597
6.489314000000001e-07	3883.572727272727
6.50282837e-07	4289.196347031963
6.516341550000001e-07	4488.1336405529955
6.529855000000001e-07	4490.539534883721
6.543367310000001e-07	4424.1255813953485
6.55688e-07	4466.521126760564
6.570391e-07	4739.568720379147
6.58390259e-07	5219.952606635071
6.597413330000001e-07	5700.588516746411
6.610924000000001e-07	6017.4567307692305
6.624435e-07	6007.323529411765
6.63794434e-07	5723.879562043796
6.651454e-07	5303.036764705882
6.664962000000001e-07	5081.8007380073805
6.678471e-07	5283.617647058823
6.691979000000001e-07	5933.860294117647
6.70548645e-07	6837.8007380073805
6.718994e-07	7692.966911764706
6.73250061e-07	8174.232472324723
6.746007690000001e-07	8245.121323529413
6.759513550000001e-07	7976.2140221402215
6.773019000000001e-07	7733.715867158671
6.786524e-07	7866.084870848708
6.800028690000001e-07	8581.196296296297
6.813533000000001e-07	9804.678966789668
6.827037e-07	11205.177121771218
6.84054e-07	12311.985130111525
6.854043000000001e-07	12851.656826568265
6.867546e-07	12631.742647058823
6.881048e-07	11883.073800738008
6.894549560000001e-07	11142.630996309963
6.90805054e-07	10947.9889298893
6.921551e-07	11571.69741697417
6.935051e-07	13017.23161764706
6.948551000000001e-07	14718.514705882353
6.962051000000001e-07	16088.745387453875
6.975549320000001e-07	16721.547794117647
6.989048e-07	16500.01838235294
7.002546e-07	15549.12087912088
7.016044000000001e-07	14250.33455882353
7.02954041e-07	13311.763837638377
7.043037000000001e-07	13291.881918819188
7.056533e-07	14365.31111111111
