wavelength in nm	Intensity in au
628.656067	934.0394736842105
630.008057	992.6640625
631.3599	982.6921119592876
632.7118	902.5494791666666
634.06366	799.6750700280112
635.415466	770.2532188841202
636.7672	839.0087336244542
638.119	968.6732283464567
639.4707	1076.2810126582278
640.8223	1107.9760638297873
642.17395	1061.8701657458564
643.5255	987.4297520661157
644.877	970.6194225721785
646.2286	1046.823033707865
647.579956	1248.337950138504
648.9314	1490.7272727272727
650.282837	1648.3508287292818
651.634155	1723.8057742782153
652.9855	1696.5367847411444
654.336731	1656.5093333333334
655.688	1661.712676056338
657.0391	1797.3808219178081
658.390259	2024.708222811671
659.741333	2228.997175141243
661.0924	2377.2697547683924
662.4435	2332.5071225071224
663.794434	2176.598853868195
665.1454	1987.840909090909
666.4962	1902.8551532033425
667.8471	2004.299711815562
669.1979	2312.8255813953488
670.548645	2715.5689149560117
671.8994	3074.093023255814
673.250061	3237.702064896755
674.600769	3208.2754491017963
675.951355	3055.8816568047337
677.3019	2916.3018292682927
678.6524	2977.5592705167173
680.002869	3315.8957055214723
681.3533	3867.003076923077
682.7037	4472.559270516717
684.054	4889.174454828661
685.4043	5070.641744548287
686.7546	4896.384615384615
688.1048	4518.444
689.454956	4180.772635814889
690.805054	4138.67012987013
692.1551	4420.325481798715
693.5051	5118.966990291262
694.8551	5849.532388663968
696.2051	6452.3966480446925
697.554932	6523.6
698.9048	6468.537254901961
700.2546	6013.549323017408
701.6044	5395.81930184805
702.954041	5071.16544117647
704.3037	5111.040307101727
705.6533	5611.134969325153
707.0029	6521.893238434163
708.3524	7290.640873015873
709.7019	7913.135826771653
711.051331	8170.788759689923
712.4007	8024.149402390438
713.75	7593.686868686868
715.0993	7134.3759842519685
716.448547	6814.229645093946
717.797668	7027.173228346457
719.146851	7575.045929018789
720.4959	8434.269709543569
721.845	9230.454356846472
723.194	9799.508333333333
724.5429	10061.949392712551
725.8918	9951.43392504931
727.2407	9569.25250501002
728.5895	9018.82098765432
729.9381	8607.72463768116
731.2869	8504.224742268041
732.6355	8788.338809034907
733.984131	9331.828092243186
735.332642	10036.729896907216
736.681152	10630.817622950819
738.0296	10932.777301927195
739.3779	11067.133056133056
740.7263	10926.558333333332
742.0746	10651.92094017094
743.4228	10423.235042735043
744.771057	10286.62091503268
746.119141	10393.678111587982
747.467163	10660.225806451614
748.8153	11057.051391862955
750.1632	11450.826464208243
751.5111	11794.875
752.8591	12020.13695652174
754.2069	12133.832258064516
755.5546	12129.164859002169
756.902344	12005.339826839827
758.249939	11713.11884057971
759.5976	11716.726862302483
760.9452	11632.558891454966
762.292664	11619.16704288939
763.6401	11492.038812785388
764.9875	11313.41339491917
766.3348	11038.935034802784
767.682068	10667.105633802817
769.0293	10296.307875894989
770.376465	9979.534772182255
771.7236	9798.169014084508
773.0707	9797.365789473684
774.417664	9866.300268096515
775.7646	10031.932432432432
777.1115	10188.65934065934
