#
#
#
wavelength	counts
6.286560670000001e-07	2952.2278820375336
6.30008057e-07	3036.6238805970147
6.313599000000001e-07	2957.3353658536585
6.327118000000001e-07	2762.3425925925926
6.340636600000001e-07	2585.3088235294117
6.354154660000001e-07	2571.0061538461537
6.367672e-07	2753.216911764706
6.381190000000001e-07	3108.1296829971184
6.394707e-07	3396.877880184332
6.408223000000001e-07	3441.5128205128203
6.4217395e-07	3302.112676056338
6.435255e-07	3165.8852867830424
6.44877e-07	3211.761290322581
6.462286e-07	3574.7625
6.475799560000001e-07	4167.887719298245
6.489314000000001e-07	4763.332167832168
6.50282837e-07	5120.453159041394
6.516341550000001e-07	5318.670250896057
6.529855000000001e-07	5221.42
6.543367310000001e-07	5121.537993920972
6.55688e-07	5256.952978056426
6.570391e-07	5676.465465465465
6.58390259e-07	6262.792284866468
6.597413330000001e-07	6638.768691588785
6.610924000000001e-07	6919.417867435159
6.624435e-07	6606.638141809291
6.63794434e-07	6166.847507331378
6.651454e-07	5594.530612244898
6.664962000000001e-07	5528.811728395061
6.678471e-07	5917.60632183908
6.691979000000001e-07	6707.357798165138
6.70548645e-07	7673.093596059113
6.718994e-07	8406.494553376906
6.73250061e-07	8677.694524495677
6.746007690000001e-07	8764.541329011345
6.759513550000001e-07	8111.928104575163
6.773019000000001e-07	8112.551330798479
6.786524e-07	8588.177504393672
6.800028690000001e-07	9224.941391941393
6.813533000000001e-07	11135.878734622143
6.827037e-07	12070.790450928382
6.84054e-07	13549.062962962964
6.854043000000001e-07	13663.22290388548
6.867546e-07	13176.780082987552
6.881048e-07	12202.903073286052
6.894549560000001e-07	11691.166093928981
6.90805054e-07	12036.177685950413
6.921551e-07	13017.227390180879
6.935051e-07	14612.840317100792
6.948551000000001e-07	16568.764346764347
6.962051000000001e-07	18033.08061749571
6.975549320000001e-07	18433.585585585584
6.989048e-07	17656.948462929475
7.002546e-07	16303.79691119691
7.016044000000001e-07	14874.684870188004
7.02954041e-07	13918.469583778015
7.043037000000001e-07	14511.296511627907
7.056533e-07	15999.986754966887
7.070029e-07	18154.624561403507
7.083524e-07	20169.341394025603
7.097019000000001e-07	21882.30707070707
7.11051331e-07	22029.70867768595
7.124007e-07	21233.210682492583
7.1375e-07	19933.519209659713
7.150993e-07	18876.87434554974
7.16448547e-07	18055.35087719298
7.17797668e-07	18907.556975505857
7.19146851e-07	20134.39258698941
7.204959000000001e-07	22199.002320185617
7.218450000000001e-07	23991.610691458456
7.23194e-07	25202.26386456509
7.245429000000001e-07	25286.608214849923
7.258918e-07	24608.410639569636
7.272407e-07	23331.419591836733
7.285895000000001e-07	21865.992771084337
7.299381e-07	20966.746153846154
7.312869e-07	20922.36958443855
7.326355e-07	21203.791376912377
7.339841310000001e-07	22630.224293059127
7.35332642e-07	23794.070607553367
7.36681152e-07	25283.76270096463
7.380296e-07	26046.252246469834
7.393779e-07	25606.18515283843
7.407263000000001e-07	25134.182178217823
7.420746e-07	24376.706532663316
7.434228000000001e-07	23928.356709372893
7.447710570000001e-07	24282.456375838927
7.46119141e-07	24192.951851851853
7.47467163e-07	25160.47991761071
7.488153000000001e-07	26008.680807035696
7.501632000000001e-07	26899.48912280702
7.515111000000001e-07	27680.959943780745
7.528591000000001e-07	28162.1788502484
7.542069000000001e-07	27992.488132094943
7.555546000000001e-07	28120.597969991173
7.56902344e-07	27813.048780487807
7.582499390000001e-07	27658.685283687944
7.595976000000001e-07	27432.112718964203
7.609452e-07	27086.095045045044
7.62292664e-07	26792.26399026764
7.636401e-07	26510.74644290405
7.649875e-07	26047.46371398079
7.663348e-07	25309.34858044164
7.67682068e-07	24570.78878221324
7.690293000000001e-07	23551.412489379778
7.703764650000001e-07	22975.57994757536
7.717236000000001e-07	22654.745845552297
7.730707000000001e-07	22034.347941567066
7.74417664e-07	22206.23415610407
7.757646000000001e-07	22743.335
7.771115e-07	22693.538828337874
7.784583000000001e-07	22623.208556149733
7.79805054e-07	22755.434536447276
7.81151855e-07	22023.00286123033
7.82498535e-07	20901.809103260868
7.838451e-07	20288.780373831774
7.8519165e-07	18759.844930417494
7.865382e-07	18339.16825095057
7.878846e-07	17760.671968190854
7.89231e-07	17858.098666666665
7.905773000000001e-07	18423.078666666668
7.919235e-07	19335.924116424118
7.932698360000002e-07	20352.492677824266
7.94615967e-07	21305.035585353275
7.95962036e-07	21780.679802955667
7.97308044e-07	21845.230928905035
7.986540000000001e-07	21339.665263157895
7.999999390000001e-07	20425.6127409891
8.013458000000001e-07	19150.58496053178
8.026916000000001e-07	18149.307893589186
8.040373540000001e-07	16797.023193096007
8.053830570000001e-07	15633.992154065621
8.067286380000001e-07	15068.43488372093
8.080741580000001e-07	14836.533039647577
8.094197390000001e-07	14937.773711725167
8.10765137e-07	15246.077389984826
8.121105350000001e-07	15601.523041474655
8.134558e-07	15798.395587076438
8.148011000000001e-07	15746.256313131313
8.161462400000001e-07	15628.417481311099
8.17491455e-07	14906.882063882063
8.188365000000001e-07	14147.665839536807
8.201814580000001e-07	13322.827004219409
8.215265000000001e-07	12503.59892086331
8.228713380000001e-07	11840.024609843938
8.242161e-07	11169.17087667162
8.255610000000001e-07	11009.918777292576
8.2690564e-07	11055.921092564491
8.28250244e-07	11440.962454212455
8.29594849e-07	11809.54019873532
8.309394e-07	12603.766112266112
8.322838000000001e-07	12602.489130434782
8.336282000000001e-07	12793.561324977618
8.34972534e-07	13069.576553491352
8.363167000000001e-07	13000.512670565302
8.37661e-07	12769.14424951267
8.390051e-07	12189.601648351649
8.403491e-07	11728.478353442157
8.416932000000001e-07	11527.855290102389
8.430371e-07	11001.279580152672
8.44381e-07	10829.042961608775
8.457248540000001e-07	10446.611084103062
8.47068542e-07	10607.587719298246
8.484122e-07	10622.694221508827
8.497558590000001e-07	10643.159716758459
8.510993650000001e-07	10591.733439321675
8.524429000000001e-07	10715.480442804428
8.537863e-07	10493.080784766302
8.55129639e-07	10426.081788440568
8.564729e-07	10104.610104861773
8.57816162e-07	10412.630084420567
8.591593000000001e-07	10047.255384615384
8.605023e-07	9728.159252669038
8.618454000000001e-07	9443.65579710145
8.631883540000001e-07	9268.797732696898
8.6453125e-07	8962.05459770115
8.658741e-07	8873.005540166205
8.672168000000001e-07	8840.317094017095
8.68559448e-07	8501.522827687777
8.699021e-07	8274.221511627908
8.712446e-07	8007.25
8.725871e-07	7810.172443674177
8.739295650000001e-07	7644.332838038633
8.752718510000001e-07	7302.1122448979595
8.76614136e-07	7085.11369740376
8.779563600000001e-07	6888.758211678832
8.792985000000001e-07	6667.602102102102
8.806405e-07	6472.903179190752
8.81982544e-07	6384.171686746988
8.833244630000001e-07	6444.172211350294
8.846663e-07	6505.060129509713
8.860081e-07	6419.780418250951
8.873498e-07	6195.552270327349
8.88691467e-07	6036.767169179229
8.900331000000001e-07	6143.666975023127
8.913746e-07	5714.420770877944
8.927159420000001e-07	5406.74025974026
8.940574000000001e-07	5323.497963340123
8.953986e-07	4865.639830508475
8.967398e-07	4531.892045454545
8.98081055e-07	4363.592686002522
8.994220580000001e-07	4179.775055679287
9.007630620000001e-07	4015.3774403470716
9.021040000000001e-07	3865.539741219963
9.034449e-07	3895.2630208333335
9.047856450000001e-07	3859.2244897959185
9.06126343e-07	3777.9448818897636
9.07467e-07	3810.9895561357703
9.088075560000001e-07	3736.8
9.101481000000001e-07	3679.940630797774
9.114884640000001e-07	3601.691842900302
9.128288e-07	3445.376044568245
9.141691e-07	3299.760445682451
9.155093380000001e-07	3115.479784366577
9.168494e-07	2924.415335463259
9.18189453e-07	2768.355460385439
9.195294000000001e-07	2543.7457627118642
9.208694000000001e-07	2376.794952681388
9.22209167e-07	2248.186440677966
9.2354895e-07	2150.7909407665506
9.248886000000001e-07	2104.955479452055
9.262282e-07	2368.153374233129
9.275677e-07	2098.686868686869
9.289071660000001e-07	2124.6094276094277
9.302466e-07	2472.311304347826
9.315859000000001e-07	2561.3798076923076
9.32925049e-07	2533.9158075601376
9.342642e-07	2565.325806451613
9.356033330000001e-07	2501.2641843971633
9.369422610000001e-07	2495.624778761062
9.3828125e-07	2403.644160583942
9.39620056e-07	2337.5264084507044
9.409588e-07	2241.237762237762
9.422975460000001e-07	2094.2778864970646
9.436361000000001e-07	2029.7522123893805
9.449747000000001e-07	1949.1449814126395
9.463132000000001e-07	1824.793181818182
9.476515000000001e-07	1740.1223529411764
9.48989746e-07	1749.9714867617108
9.503280000000001e-07	1740.9331983805669
9.516661000000001e-07	1747.5
9.5300415e-07	1753.0168067226891
9.543422e-07	1771.736051502146
9.55680054e-07	1782.3599088838268
9.570179e-07	1823.8103837471783
9.58355652e-07	1860.5922330097087
9.596933000000002e-07	1805.9141630901288
9.610308000000001e-07	1751.5882352941176
9.623684e-07	1681.0472440944882
9.6370575e-07	1658.149051490515
9.650431520000001e-07	1553.5212765957447
9.663804320000001e-07	1505.7439293598234
